training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/rep/critic_loss,training/rep/q_max,training/rep/q_mean,training/rep/q_min,training/rep/v_max,training/rep/v_mean,training/rep/v_min,training/rep/value_loss,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/rep/critic_loss,validation/rep/q_max,validation/rep/q_mean,validation/rep/q_min,validation/rep/v_max,validation/rep/v_mean,validation/rep/v_min,validation/rep/value_loss,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,step
299.76883,0.1251887,-7.568903,0.05434866,1.0,5.140092,-5.8251066,126.86371,1.404201,0.38549542,-27.275856,-74.06148,1.7570579,-26.87421,-73.6471,0.16702059,0.89054596,-27.780426,-109.17186,0.31611007,308.8158,0.14300607,-7.678493,0.081746235,1.0,1.5136932,1.509891,-28.16636,-72.80929,2.78728,-27.750547,-72.53674,0.22238785,1.032332,-28.438993,-106.80264,0.8510736,680000
300.54932,0.16474828,-7.555765,0.051064327,1.0,5.609008,-3.6544652,106.68294,1.1656547,0.66967905,-27.983562,-74.00462,2.3178053,-27.539566,-73.72211,0.12427377,0.5552871,-28.355085,-112.54393,0.36925787,307.79578,0.1530263,-7.675775,0.08106677,1.0,1.6120143,1.0372317,-27.202417,-75.10404,2.543694,-26.764038,-74.84726,0.23561898,0.6613174,-27.287472,-105.485306,0.7106712,700000
312.93228,0.1839242,-7.5561857,0.0511695,1.0,3.9651704,-7.3164434,118.82305,1.2429523,0.15717745,-29.092556,-74.38443,2.4262266,-28.674812,-74.18417,0.16167164,0.5389621,-28.958767,-116.63402,0.39812732,312.39975,0.16399685,-7.6827145,0.082801595,1.0,1.6348457,0.7027937,-29.460808,-73.80349,3.1217747,-28.994,-73.36198,0.23470002,0.9102281,-29.512964,-100.98613,0.55510944,720000
281.34164,0.16917254,-7.5555916,0.051020965,1.0,11.444189,-3.6840458,118.52602,0.8848988,1.1092539,-27.938152,-75.79139,1.9746819,-27.53383,-75.499146,0.13056016,0.58072835,-28.582108,-112.671616,0.67849267,299.20334,0.13032931,-7.6713295,0.07995545,1.0,2.1302733,2.040884,-28.331219,-72.0284,3.052062,-27.88987,-71.80334,0.19838443,0.56968236,-28.662859,-99.83821,0.52152705,740000
289.59833,0.1272783,-7.561406,0.052474596,1.0,3.361329,-3.163838,128.82469,1.0663579,0.1375767,-27.273996,-74.225555,1.7450529,-26.897026,-73.960556,0.12880448,0.7157914,-27.956371,-106.89469,0.31604797,294.44904,0.17371495,-7.6756396,0.08103284,1.0,1.7902989,6.933008,-28.788334,-74.46797,4.2535467,-28.325928,-74.4171,0.209326,0.82580733,-29.259449,-105.57422,0.46275225,760000
282.57538,0.13953772,-7.5676985,0.054047573,1.0,4.0762,-4.4147773,109.73076,1.0277126,0.89732003,-28.045738,-75.52165,2.085044,-27.638088,-75.27699,0.13900766,0.3776949,-29.15347,-108.49523,0.27053303,274.13803,0.121100485,-7.678775,0.081816785,1.0,1.6954105,1.5710416,-28.832159,-75.584404,2.3386316,-28.39824,-75.54582,0.25842255,0.7437123,-29.611065,-96.10326,0.4297241,780000
280.18292,0.08692024,-7.5624433,0.052733693,1.0,7.604015,-3.2531633,107.90692,1.1138557,0.24085546,-28.467789,-75.39053,1.5851426,-28.067858,-75.08552,0.12676735,0.3757581,-29.336382,-107.88399,0.29782635,290.39642,0.15753843,-7.6806874,0.08229481,1.0,1.7762405,1.9604285,-28.959549,-74.57578,3.084856,-28.520306,-74.32031,0.38229305,0.35143834,-29.600136,-103.3107,0.5763366,800000
303.2866,0.16084084,-7.5442576,0.04818746,1.0,10.673163,-3.6251278,112.37091,0.99996847,0.22611177,-29.604652,-74.34088,1.955339,-29.159634,-74.300705,0.14130431,0.5310395,-30.279686,-109.12602,0.32845035,287.7638,0.13232236,-7.6842947,0.0831967,1.0,1.7698393,2.3934789,-27.200943,-71.52865,3.4800024,-26.772743,-71.23948,0.3908245,0.68163985,-27.599068,-99.44382,0.7309688,820000
300.51746,0.14727317,-7.564066,0.053139444,1.0,6.6418266,-9.900912,114.29318,1.0830783,0.0,-27.915188,-72.98802,2.0144026,-27.532879,-72.70567,0.11330858,0.40019944,-29.457817,-115.96069,0.29145092,317.04425,0.16220699,-7.674967,0.08086459,1.0,1.972607,1.4392984,-28.919956,-73.92813,2.461668,-28.523483,-72.96411,0.25289893,0.5851009,-29.341496,-94.531006,0.5016155,840000
297.1034,0.13967231,-7.559608,0.05202499,1.0,4.1957636,-2.6190128,108.44719,1.0451033,0.0,-28.149918,-73.57867,2.1104555,-27.729603,-73.3206,0.14228146,0.63464546,-28.897034,-112.14201,0.3777701,305.35214,0.16437677,-7.6739464,0.080609635,1.0,1.9395882,2.071846,-29.892036,-74.65297,3.1798992,-29.49899,-74.39961,0.23822552,0.5824955,-30.222332,-104.22383,0.6413853,860000
283.9834,0.12806535,-7.5590315,0.051880814,1.0,3.4274058,-6.971511,111.98953,1.0368334,3.013188,-28.326365,-75.053055,1.7382469,-27.874983,-74.77207,0.12208265,0.6242316,-28.97087,-106.441895,0.38856533,329.8717,0.22614083,-7.67122,0.07992804,1.0,1.8614259,1.2100286,-30.076908,-72.937065,2.3676834,-29.720621,-72.687965,0.37259737,0.72455037,-30.092436,-99.60413,0.7563747,880000
301.6629,0.13051432,-7.5646605,0.053288076,1.0,16.539534,-7.6639824,134.6874,1.3052461,1.1776745,-29.882748,-76.1537,2.3659115,-29.522587,-75.89731,0.13288817,0.3753199,-30.778532,-110.24213,0.29015717,296.5843,0.13132408,-7.6975164,0.086502105,1.0,1.75408,1.7398193,-29.061132,-74.578476,2.8806896,-28.62961,-74.33607,0.30011272,0.7050664,-29.457817,-105.70802,0.89519507,900000
285.68478,0.123372026,-7.562263,0.052688666,1.0,8.130093,-4.7693686,109.68689,0.8738688,0.33703196,-28.37946,-73.8644,1.7492695,-27.985374,-73.63067,0.1317846,0.73707443,-29.00083,-112.2557,0.3327639,310.44165,0.16168243,-7.677559,0.081512615,1.0,1.9612913,1.5833399,-29.780203,-75.028305,2.5488522,-29.366604,-74.547516,0.25819314,0.5763533,-30.234955,-101.2668,0.6844852,920000
286.6789,0.17021507,-7.5646834,0.05329379,1.0,9.275195,-4.596828,109.78084,1.0633914,0.7047764,-28.812908,-75.89473,2.1186843,-28.392187,-75.64989,0.128987,0.7390007,-29.847357,-111.05069,0.2751172,299.12158,0.17333594,-7.6625175,0.0777524,1.0,1.8165076,1.2260754,-29.231148,-74.62588,2.758731,-28.77195,-74.3732,0.25406057,0.9019119,-29.70581,-102.6703,0.76314247,940000
298.4748,0.17642462,-7.5466475,0.048784785,1.0,5.069664,-2.6888323,107.01581,0.95820165,1.2404544,-27.467422,-74.06839,2.7256336,-27.0803,-73.80934,0.11064846,0.8153032,-28.386143,-108.26759,0.2866137,299.37268,0.14483908,-7.6646442,0.078284115,1.0,1.8632066,2.193991,-29.7817,-75.71918,3.1994495,-29.358185,-75.3482,0.25788403,0.56908786,-30.083199,-96.010086,0.7182904,960000
277.41095,0.13499162,-7.5670342,0.05388149,1.0,3.0372794,-3.1491065,98.58966,0.98184884,1.4459746,-28.743279,-76.12093,2.867188,-28.350277,-75.884094,0.12876382,0.4683112,-29.837967,-108.54129,0.33279362,302.7326,0.1713072,-7.672287,0.08019467,1.0,1.7340713,1.8562825,-28.546589,-76.600105,2.8961382,-28.100843,-76.3643,0.27062517,0.3946689,-29.102451,-97.66582,0.40078944,980000
275.2395,0.1571913,-7.5667934,0.0538214,1.0,3.126315,-15.991362,137.88821,1.1384163,0.29828334,-30.046087,-74.82671,2.0795612,-29.617199,-74.58562,0.1420169,0.73724854,-31.642664,-111.03643,0.38129574,310.55844,0.15883605,-7.6899724,0.084616065,1.0,2.1182318,1.269937,-29.599174,-76.2523,2.4109516,-29.1799,-76.01773,0.24683762,0.7124866,-30.188866,-102.43908,0.612596,1000000
